GSM1253375	GSM1253376	GSM1253377	GSM1253378	GSM1253379	GSM1253380	GSM1253381	GSM1253382	GSM1253383	GSM1253384	GSM1253385	GSM1253386	GSM1253387	GSM1253388	GSM1253389	GSM1253390	GSM1253391	GSM1253392	GSM1253393	GSM1253394	GSM1253395	GSM1253396	GSM1253397	GSM1253398	GSM1253399	GSM1253400	GSM1253401	GSM1253402	GSM1253403
NFASC	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	36	19	0	0	0	18	0	0
NFAT5	0	0	1	1	2	3	1	10	1	0	2	1	87	949	1	938	11	3	0	35	3	99	69	1	0	0	4	0	0
NFATC1	6	0	1	0	4	28391	6	9	2	0	1	78	0	0	1649	5126	0	1	90	1	1	68	0	0	0	1	0	0	0
NFATC2IP	988	8	8	29	2	0	0	0	0	1	0	2	0	0	174	0	0	2	0	444	0	370	294	6	1010	1651	319	3	0
NFATC3	4	1	0	67	3	0	3	1	1	2	2	3	1	0	2	56	5	69	157	1350	0	885	149	4	38	10	923	10	8
NFATC4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1930	0	548	3	519	0	172	0	215
NFE2	0	4	342	133	3	30232	24	13	13	7	66	43960	52357	37509	43600	44137	2	4484	140	295	19	550	479	5	80	0	6	1	0
NFE2L1	0	1	0	205	1	1	2	6	0	0	1	0	0	3	0	1693	0	715	814	347	390	1898	137	2	26	78	844	834	7
NFE2L2	1508	14	3	3	1	0	4	0	8	8	3	7081	0	0	1897	1871	2	179	21	147	0	30	841	536	1	3	57	0	0
NFE2L3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	136	0	0	0	0	0	0	0	0	0	0	0
NFIA	38	0	0	0	0	0	0	1	2	1	0	0	0	2	0	0	3	162	32	1	0	0	248	0	66	1	1	0	1
NFIB	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	32	86	0	1	0	0	0	0	1	2	0	5	0	2
NFIC	12	0	0	88	4	0	0	0	1	7	0	0	164	0	0	2	0	0	18	254	181	2	66	3	56	964	293	0	1216
NFIL3	0	2	0	0	1	1	4	4	0	0	0	0	0	4	1	0	4	686	1	14	855	18	292	691	582	0	3	0	0
NFIX	1	0	2051	117	0	0	0	0	0	0	20	0	0	1	0	2	0	372	96	3	110	0	6	75	40	0	6	0	0
NFKB1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	3	0	1	50	0	20	95	817	0	2	305	2	2
NFKB2	258	2	0	0	0	33	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	68	68	0	0	1	58	0	0
NFKBIA	34	7	17	64	2	20053	11	4	12	5	8	11	17956	8781	660	3872	1	118	2040	1031	1	271	259	2	159	13191	1392	77	6
NFKBIB	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	5	0	2	3	0	1	8	85	0	11	9	37	0	1
NFKBID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	1	0	17	0	98	0	0
NFKBIE	24	0	0	0	2	0	5	4	29	3	0	0	1	0	0	1	0	0	1	0	1	230	0	0	0	0	1	0	252
NFKBIL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	3	0	2	1	0	0	0	280	0	0
NFKBIZ	0	0	0	0	1	33	0	0	0	0	0	2	0	0	878	1	2	0	0	1	0	1	220	1	16	0	0	0	0
NFRKB	1	0	0	1	0	0	2	2	0	0	0	1	0	0	0	0	1	0	162	0	0	534	780	2	633	0	195	0	0
NFS1	82	2	0	1	0	54	0	2	4	0	0	75	3	0	0	0	1	23	0	58	506	0	173	1	0	621	1074	1	2620
NFU1	0	0	0	1	0	0	1	0	3	3	1	2	0	0	0	2	1	0	565	0	0	0	73	0	0	0	82	0	25
NFX1	1	1	0	0	0	0	4	4	1	0	457	53	63	15236	50	87	2	1	3	1	0	1	473	1	2	0	88	1	2903
NFXL1	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	1	0	277	0	0	0	0	0	0	0	0	0
NFYA	0	0	0	0	1	1	0	0	1	0	1	0	0	0	2071	168	0	0	0	0	1	1	0	2	158	63	170	0	0
NFYB	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	6	0	5	5	766	0	157	30	68	547	2	109	1	10966
NFYC	710	6	42	0	0	14	0	0	0	1	0	0	0	1	0	1	0	125	0	0	0	0	61	0	0	2	48	0	0
NGB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGDN	0	0	6	260	0	0	1	3	1	1	0	1	0	1	0	0	3	538	2	707	0	322	323	6	506	0	84	1	0
NGEF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	49	0	0	0	42	0	439
NGFRAP1	128	1	0	1017	3	3	9	8	4	1	0	2	2660	8963	219	1200	5	79	1624	609	1614	0	506	2449	685	0	155	0	0
NGLY1	0	0	0	2	1	0	3	6	0	0	0	1	0	0	0	0	1	25	0	7	0	0	136	341	37	0	123	1	27
NGRN	0	0	0	370	2	0	4	4	1	0	1	0	36	9	1	0	11	1773	2674	1024	754	2266	1463	519	2032	29913	1964	12154	4
NHEG1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NHEJ1	0	0	0	0	0	1	0	0	0	0	390	0	0	0	0	0	0	58	0	0	0	0	51	5	0	105	3	0	0
NHLRC1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NHLRC2	0	0	0	0	0	21	0	0	1	0	0	0	1	0	0	0	1	0	125	0	0	1	0	0	0	1	17	6	1
NHLRC3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	129	0	0	0	404	92	0	1
NHLRC4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NHP2	2618	14	279	240	1	0	0	0	0	0	0	0	1	0	0	0	3	560	264	483	1142	902	195	33	254	311	993	6	92
NHP2L1	4066	25	1	418	5	1	8	7	0	3	47	1	1	10	178	0	5	1347	1839	1268	2765	2393	923	354	656	37	1539	5	2
NHSL1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	526	7	0	0	0	11	52	0	0
NHSL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
NICN1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	9	0	0	10	0	8	5	37	0	0	0	0	0	0
NID1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NID2	0	0	0	0	1	0	3	7	0	0	0	0	0	0	4341	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NIF3L1	0	1	0	11	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	411	0	43	0	76	0	94
NIN	0	0	1	1	1	0	1	4	0	0	0	0	0	0	0	1104	1	0	0	0	171	0	197	90	0	1	635	225	2
NINJ1	752	4	1	1	0	0	0	0	32	0	0	0	3	0	0	0	0	37	0	249	0	0	5	0	0	3410	1280	8	2
NINJ2	3653	29	586	378	0	0	0	0	2	4	0	3	2	0	0	1	0	135	0	66	0	1	11	0	0	0	0	7	0
NINL	0	0	0	17	0	0	0	0	1	0	0	1	42	0	0	0	0	0	0	38	85	0	1	0	0	1	0	0	0
NIP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	13	1	0	2	0	0	7030	14	1	0
NIPA1	1111	6	1	0	0	0	2	1	0	0	0	1	21	1	0	0	0	0	796	26	1296	0	0	0	0	0	139	2293	0
NIPA2	0	0	0	0	2	0	0	2	2	0	2	2	1	0	0	1	1	13	8	301	20	1	274	0	10	4	507	0	0
NIPAL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0
NIPAL3	8	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	2	0	36	0	866	0	194	6	1077	92	282	1	30
NIPAL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NIPBL	1	2	0	0	1	0	4	2	2	0	0	0	0	381	880	1200	2	118	1037	0	1661	1	356	3	132	362	186	15	290
NIPSNAP1	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	1	0	0	0	42	0	0	22	0	0	2	73	1076	71
NIPSNAP3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	139	0	0	0	353	0	0	197	0	0	0
NIPSNAP3B	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	1	0	0
NISCH	0	0	0	2	6	1	5	2	3	0	0	0	1596	1	451	6	1	557	1028	666	36	0	149	1	2	211	1092	1	1
NIT1	1591	2	1	1	0	0	0	0	0	3	1	0	0	81	6	16	1	1103	0	17	0	208	32	673	235	1	48	1	0
NIT2	1776	4	1	0	5	0	0	0	19	2	2	0	0	0	0	0	3	167	168	243	0	792	188	1688	93	32	158	0	0
NKAIN1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	138	18	43	0	0	0	0	0	0	0
NKAP	0	0	0	0	4	54	1	5	0	0	0	0	0	0	0	0	2	2	2	796	1	0	68	502	1	0	7	1	372
NKD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0
NKD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NKG7	0	6	1	0	0	0	0	0	3	5	6	1	1	0	0	0	7	0	0	0	0	3	0	1	1	0	0	5	3
NKIRAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	2	0	0	0	0	0	0	0	40	0	0
NKIRAS2	7	0	0	87	1	2	0	1	1	0	0	0	0	2	0	0	0	303	1612	148	0	3	178	148	8	0	3	0	0
NKPD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	34
NKRF	0	0	0	31	0	0	1	0	0	0	0	0	0	0	2863	0	0	0	0	88	0	467	11	0	0	0	19	0	0
NKTR	1	2	3	2	1	6	1	4	0	2	1	2	3	44	0	552	1	45	0	89	0	70	66	39	0	3	246	1	2
NKX2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0
NKX3-1	0	0	0	1	1	0	1	1	7	0	1	0	0	0	1	0	1	0	0	0	0	60	107	1618	1	5	911	0	0
NLE1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	451	0	0	0	54	344	43	0	0	0	3
NLGN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLGN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	71	0	0
NLGN3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLGN4Y	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLK	0	1	0	0	1	0	7	2	0	0	1	0	230	1	8485	730	0	0	1	0	0	0	0	0	7	2	0	0	0
NLN	0	0	0	0	0	3	0	0	6	0	9	2	34	0	9	0	0	0	0	0	21	6	79	114	101	0	11	0	1
NLRC3	0	2	2	1	0	0	0	1	7	0	8	6	3	0	0	1	0	0	543	0	0	6	1	203	0	0	5	0	0
NLRC4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLRC5	0	4	11	303	4	9009	3	0	14	8	71997	4392	10583	21	3748	1207	201	543	40	2	1	16	2	7	2	13822	519	0	1
NLRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NLRP12	0	0	0	0	38	18	0	4	1	0	0	0	24	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1
NLRP13	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
NLRP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	53	0	0	0	0	0	0
NLRP5	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLRP7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NLRP8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NLRX1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	7830	246	3	2
NMD3	0	6	0	0	5	0	1	0	0	0	1	0	0	1	3	1	0	1	59	564	0	0	341	82	0	0	35	0	0
NME1	0	0	0	1690	14	4	10	4	0	0	0	1	33	4	0	0	2	4	3251	2519	1623	1543	399	221	882	25	8510	10860	6731
NME1-NME2	5709	32	631	2039	22	0	10	8	3	2	3	10	42	3	1	2	11	785	5572	5611	6082	16143	1256	1065	1532	9013	15539	8568	10115
NME2	5709	32	631	1095	16	0	8	6	3	2	3	10	21	3	1	2	10	783	3619	3991	5051	15317	975	1007	934	9394	10506	2004	6523
NME3	0	0	0	49	0	0	0	0	0	0	3	0	0	0	0	0	0	5	1	12	5	2	2	0	1	12	104	0	1
NME4	541	3	1	14	1	0	3	2	20	2	3	1	4	2	0	1	2	139	1	7	95	98	166	26	93	4	1017	313	1130
NME5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1	0	7	15	0	0	0	0	0
NME6	0	0	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1607	410	219	0	41	892	0	0	0	0	0
NME7	33	0	1	0	1	0	2	0	15	5	3	0	1	0	127	317	3	15	420	3	4	171	213	19	200	0	286	0	0
NME9	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	2	3	0	0	19	0	0	0	0	0	0	113	0	0
NMI	0	1	0	0	0	0	0	0	1	0	0	0	2	8	0	6	1	0	0	0	0	0	42	38	0	0	44	0	0
NMNAT1	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	147	0	0	4	1	0	0
NMNAT2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1
NMNAT3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	729	0	0	0	2	0	0
NMRAL1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	89	0	0	0	10	33	2	126	93	3	0	10	727	1	398
NMRK1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	2970	1	0	0	0	0	0	36	12	0	0	0	1	0	0
NMRK2	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
NMT1	26	1	5	2	0	4	0	0	0	0	30	2	21	1	3	0	1	0	0	10	1818	715	130	6	0	4	267	0	0
NMT2	0	0	0	0	0	7	0	0	0	0	24	26	0	0	4	4	2	0	1	3	0	0	1	0	0	1	8	22	1
NMU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	228
NMUR1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
NNMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
NNT	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1759	135	1	0	0	0	0	0	308	3	0	3	103	0	0
NOA1	0	0	0	4	0	0	0	1	1	0	0	0	1	0	0	0	2	0	1505	1	768	1066	569	1436	0	0	299	0	0
NOB1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	73	408	250	42	0	17	0	0
NOC2L	0	0	0	0	0	1	0	3	0	0	0	13	1	0	0	8	1	21	0	148	0	1	48	43	73	3	220	176	9
NOC3L	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	30	1	0	0	79	1	0	0	0	79	0
NOC4L	0	0	0	0	0	1854	0	0	0	0	0	0	0	0	0	0	0	0	305	148	0	0	0	0	0	0	11	0	0
NOD1	1837	9	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	0	0
NOD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NODAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
NOL10	1	1	2	0	1	0	1	0	0	5	0	0	0	0	0	2	0	0	0	21	77	0	81	0	1	1	1149	267	40
NOL11	71	1	4	0	4	0	0	0	1	1	0	1	2	0	0	113	3	29	1274	631	1107	47	178	2	192	7424	2795	8	3008
NOL12	21	0	0	40	3	0	0	0	0	0	0	0	0	24	1806	1	0	13	0	202	411	5	52	0	43	0	0	0	1
NOL3	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	394	294	44	215	5	40	0	0	850	362	2785	2
NOL6	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13	0	19	184	0	0	14	110	0	0
NOL7	4	0	0	146	0	0	3	1	0	1	0	0	0	0	0	0	4	245	0	108	1	1137	28	0	116	24	68	0	15
NOL8	0	0	1	1	2	0	4	2	0	0	0	0	0	0	1	2572	1	1	1	638	0	103	350	1408	0	0	16	0	1
NOL9	0	6	0	1	0	4	0	1	0	0	1	2	1	4	5	3	0	0	0	4	619	10	315	456	0	0	28	5	0
NOLC1	2870	23	0	149	3	0	6	0	0	0	0	0	1	1	0	0	12	1	0	1169	1	198	152	479	1016	8	2714	169	6
NOM1	0	0	0	0	1	1	0	0	2	0	24	0	0	0	0	1	0	0	0	0	0	0	88	0	0	1	89	2	0
NOMO1	0	0	0	3	0	228	0	1	0	0	0	0	0	0	0	0	0	1	2	54	320	81	36	95	86	0	108	2	1
NOMO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NOMO3	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
NONO	4904	31	4	10	19613	7169	15	6	38	3	3	0	9	6	1916	1	4	183	850	1471	19	1059	1174	605	792	8053	1269	4389	11324
NOP10	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	28	1	33	262	280	117	2	316	1	25
NOP14	0	3	0	467	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	33	38	0	0	0	2	1	109	0	0
NOP14-AS1	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	25	4	2	1034	2	1	132	0	0
NOP16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	292	111	0	8	142	0	24
NOP2	0	0	0	0	7	1	1	2	0	1	0	0	0	1	0	0	1	0	19	2690	0	4	34	74	57	10	1291	0	0
NOP56	0	0	0	750	6	1	1	4	0	0	0	0	51	6	0	1073	8	1668	689	1457	655	1163	994	287	252	3259	2269	17021	2
NOP58	0	0	0	3	2	0	5	1	0	1	0	0	1	2	2	0	1	544	1972	912	166	663	509	665	351	11271	276	785	6
NOP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0
NOS1	0	1	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOS1AP	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	13	420	0	0
NOS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0
NOS3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	565	0	1
NOSIP	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11	78	299	495	0	20	22	150	50	136	0	18
NOSTRIN	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	719	0	151	0	0	495	0	0	0	0	0	0
NOTCH1	0	1	0	0	1	12091	2	2	0	0	2	1	0	1222	110	282	1	1	36	92	0	7	0	0	136	0	96	1090	0
NOTCH2	0	1	0	2	0	0	0	1	2	2	0	0	1	0	3	6	3	20	0	37	245	95	21	0	20	11	238	0	862
NOTCH2NL	2	0	0	2	1	151	0	0	2	1	2	1	401	0	1032	1340	2	1	0	0	0	1260	277	672	1644	6029	676	0	397
NOTCH3	0	0	0	5	1	0	0	0	1	1	0	2	1	2	0	0	1	0	0	91	0	463	169	4	367	56	675	378	0
NOTCH4	116	1	0	0	0	0	1	0	0	0	7	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
NOTO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
NOV	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
NOVA1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
NOX3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOX5	0	0	0	0	0	0	0	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
NOXA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	1	1	4	0	11	0	0
NPAP1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	3	0	1	0	0	0	0	0	0	1	0	0
NPAS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	78	0	0	121	0	0
NPAS3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
NPAT	80	2	4	3	0	0	1	0	9	5	9	6	0	1	0	1	0	94	0	0	0	25	6	0	0	0	129	0	0
NPB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
NPC1	3	5	1	31	3	0	0	1	0	0	0	1	1131	0	737	657	0	4	172	468	101	371	21	11	0	155	7	0	0
NPC1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	351
NPC2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	3	0	0	0	2	188	0	0	0	205	0	0
NPDC1	0	0	0	28	1	0	0	0	11	1	0	0	0	0	0	0	0	113	487	492	538	580	74	79	54	287	1153	693	67
NPEPL1	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	9	0	0	44	397	850	0
NPEPPS	0	3	119	499	4	1	1	0	5	1	42	4	1104	13141	3294	318	1	269	67	1189	205	1553	775	203	57	0	20	15201	1
NPFF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	262	0	0
NPFFR1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPFFR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	5	0	0	0	0	0	0	1	0	0
NPHP1	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP3	0	0	0	72	2	0	1	1	1	0	0	0	0	0	702	632	4	1	608	0	0	1	17	0	0	0	214	2	0
NPHP3-AS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	675	0	0	0	0	0	0	0	2297	13	1	1
NPIP	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	19	1	0	0	0	2	0	0
NPIPL3	4	0	1	5	0	109	0	0	0	0	179	247	10	15	97	64	1	5	9	33	1	2	12	1	0	7	0	76	9
NPL	0	2	2	81	0	0	0	0	4	1	2	4	0	0	0	2	0	46	0	0	0	4	322	0	0	0	0	0	0
NPLOC4	1	2	1	22	5	7	6	6	0	0	22	0	3	0	0	1431	3	16	237	833	6	1751	79	903	352	13198	946	10	11
NPM1	994	4	4	6	15	4	9	12	8	1	1	0	4	3	1369	0	11	1386	209	2582	1663	1740	4505	810	886	3392	2363	433	3857
NPM2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NPM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	3	7	0	0
NPNT	33	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	58	203	5	0	0	13	172	124	0	0	0	0
NPPA	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1133	0	0	0	0	0	1	0	0	0	0	0	0	0
NPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
NPR3	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	5	370	1	53
NPRL2	0	0	0	0	0	0	1	0	55	1	0	1	0	0	981	0	0	0	0	11	12	16	242	794	7	1	191	0	0
NPRL3	4	1	13	63	0	0	0	0	0	0	0	1	0	0	0	260	0	451	14	1	38	27	63	2	167	1	6	0	6
NPSR1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0
NPTN	0	0	1	3	1	0	0	0	11	0	1	0	12	0	0	657	3	0	0	0	0	0	0	995	300	0	168	1	1
NPTX1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPTXR	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	10	0	4	37	522	0	0	0	0	0	0	7	0	0
NPW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
NPY	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
NPY1R	6	11	8	2	0	0	0	0	94	14	4	5	0	1	0	3	7	31	781	201	0	2	8	6	383	0	0	0	0
NPY5R	4569	28	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPY6R	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NQO1	2759	21	2	808	1	0	2	1	19	3	2	6	11	4	0	3	2	665	33	51	1373	1652	187	217	656	24046	1473	89	6454
NQO2	1	3	4	0	0	1	0	0	0	5	1	37938	0	0	1469	113	4	0	126	450	203	17	27	0	0	2	428	0	0
NR0B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NR1D1	0	0	0	7	1	0	0	0	0	0	0	0	0	2	521	0	0	113	19	147	0	760	12	0	36	0	3	0	0
