gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ER_target_lenient	ER_target_stringent	ER_early	ER_late	ER_target_ChIP
TMEM127	4926.169765	-0.126060064	0.034025757	-3.704842267	2.11522e-4	0.001089524	no	no	FALSE	FALSE	TRUE
TGFBRAP1	1669.216351	0.079738315	0.048961439	1.628594176	0.103398958	0.21318687	no	no	FALSE	FALSE	FALSE
GCC2	1173.82335	-0.139014053	0.061502854	-2.260286195	0.0238	0.0658	no	no	FALSE	FALSE	FALSE
MRPS9	1007.309012	0.008822518	0.063184406	0.139631252	0.888951347	0.936993782	no	no	FALSE	FALSE	FALSE
C2orf49	951.5638829	0.045186373	0.062349787	0.724723776	0.468621506	0.63257947	no	no	FALSE	FALSE	FALSE
ANKRD36	43.23965068	0.206896714	0.154436682	1.339686345	0.180347339	0.324848819	no	no	FALSE	FALSE	FALSE
EPC2	1306.8641479999999	0.012813754	0.057338476	0.223475665	0.823165321	0.899900536	no	no	FALSE	FALSE	FALSE
ARHGEF4	513.7774866	0.207986538	0.082166925	2.531268377	0.011365085	0.035367151	up	no	FALSE	FALSE	FALSE
ISCU	1683.539415	-0.007702316	0.055193868	-0.139550209	0.889	0.937	no	no	FALSE	FALSE	FALSE
SCYL2	4517.157118	-0.182704052	0.03566384	-5.122949545	3.00793e-7	2.7259e-6	down	no	FALSE	FALSE	FALSE
CKAP4	7019.004386	-0.109354296	0.030023266	-3.64231845	2.7e-4	0.00135	no	no	FALSE	FALSE	FALSE
PLXNC1	98.67468865	0.199721944	0.141880442	1.407677768	0.159226508	0.295825107	no	no	FALSE	FALSE	FALSE
APPL2	2189.310843	-0.12880578	0.046151535	-2.790931642	0.00526	0.0182	no	no	FALSE	FALSE	FALSE
PWP1	2693.170638	0.196355424	0.040557029	4.841464674	1.29e-6	1.04e-5	up	no	FALSE	FALSE	FALSE
DRAM1	2320.013763	-0.412873839	0.04387717	-9.409764599	4.97e-21	1.69e-19	down	no	FALSE	FALSE	FALSE
KIAA1033	2532.056743	-0.120171263	0.04459749	-2.694574557	0.00705	0.0235	no	no	FALSE	FALSE	FALSE
SLC41A2	739.6025921	-0.281543333	0.077118053	-3.650809686	2.61415e-4	0.001312791	down	no	FALSE	FALSE	FALSE
FLNB	17486.49115	-0.083743853	0.027347066	-3.062260907	0.0022	0.00863	no	no	TRUE	TRUE	FALSE
NEK3	67.46374494	0.059961373	0.149040348	0.402316381	0.687451201	0.807911533	no	no	FALSE	FALSE	FALSE
PCDH8	41.03051826	-0.073347671	0.154491945	-0.474766958	0.634953086	0.769871154	no	no	FALSE	FALSE	FALSE
VPS36	642.2425578	0.003346623	0.073385483	0.045603337	0.963626409	0.980603629	no	no	FALSE	FALSE	FALSE
RNASEH2B	329.501816	0.223526874	0.09631441	2.320804073	0.020297421	0.057644998	no	no	FALSE	FALSE	FALSE
CKAP2	1023.04926	0.125139689	0.067750355	1.847070592	0.0647	0.148	no	no	FALSE	FALSE	FALSE
TBC1D4	689.0291636	0.103307668	0.076004823	1.359225161	0.174075251	0.31607057	no	no	FALSE	FALSE	FALSE
BORA	144.7279035	0.392759293	0.132853492	2.956333994	0.00311	0.0117	up	no	FALSE	FALSE	FALSE
LRCH1	1208.517878	-0.068224799	0.057680772	-1.182799692	0.236888543	0.394869709	no	no	FALSE	FALSE	FALSE
SUCLA2	902.1863826	-0.129636771	0.065835898	-1.969089426	0.048942823	0.118243631	no	no	FALSE	FALSE	FALSE
RCBTB1	373.4049302	0.002611892	0.094208782	0.027724505	0.977881879	0.988224327	no	no	FALSE	FALSE	FALSE
MED4	870.1999929	-0.010911818	0.066466371	-0.164170508	0.869596918	0.925826004	no	no	FALSE	FALSE	TRUE
PHF11	235.050317	-0.014199796	0.112428421	-0.126300772	0.899493845	0.943358665	no	no	FALSE	FALSE	FALSE
COG3	1471.44592	-0.160236807	0.051986792	-3.082259947	0.00205	0.00815	down	no	FALSE	FALSE	TRUE
LMO7	4985.315849	-0.629427933	0.034314683	-18.34281624	3.77e-75	8.65e-73	down	down	FALSE	FALSE	TRUE
ITM2B	3997.263212	-0.078565681	0.035921647	-2.187140282	0.0287	0.076862371	no	no	FALSE	FALSE	FALSE
SPRY2	200.8104095	-0.088854901	0.119242999	-0.745158219	0.456176077	0.621388904	no	no	FALSE	FALSE	TRUE
NUDT15	689.2832955	-0.047194262	0.075789891	-0.622698638	0.533482578	0.688968747	no	no	FALSE	FALSE	TRUE
LCP1	400.7649609	-0.206399058	0.100536437	-2.05297764	0.0401	0.101	no	no	FALSE	FALSE	FALSE
SETDB2	140.6153656	0.015435244	0.128982472	0.119669317	0.904745107	0.946912893	no	no	FALSE	FALSE	FALSE
SCRN1	9612.718607	-0.102633583	0.027646355	-3.712373061	2.05325e-4	0.001060672	no	no	FALSE	FALSE	FALSE
TNS3	3920.981925	-0.411485468	0.039881946	-10.31758743	5.87e-25	2.48e-23	down	no	FALSE	FALSE	TRUE
CHST12	403.2350728	-0.202653595	0.089561632	-2.262727813	0.023652473	0.065462726	no	no	FALSE	FALSE	FALSE
RAPGEF5	197.0659189	-0.013230058	0.120557531	-0.109740618	0.912615086	0.951821568	no	no	FALSE	FALSE	TRUE
RAC1	15558.17684	-0.090662882	0.023958525	-3.784159524	1.54e-4	8.25e-4	no	no	FALSE	FALSE	FALSE
KDELR2	8854.077541	-0.042935242	0.029845018	-1.438606671	0.150261995	0.283486591	no	no	FALSE	FALSE	FALSE
NUPL2	307.1046144	0.239544431	0.106491314	2.249426939	0.0245	0.0673	no	no	FALSE	FALSE	FALSE
ZDHHC4	962.2881472	-0.067959463	0.065821437	-1.032482212	0.302	0.468	no	no	FALSE	FALSE	FALSE
BZW2	4879.220485	0.202157932	0.031882543	6.340709133	2.2871e-10	3.19857e-9	up	no	FALSE	FALSE	FALSE
TBRG4	1511.020957	0.196276001	0.050906976	3.855581659	1.15455e-4	6.36611e-4	up	no	FALSE	FALSE	FALSE
DDX56	2018.554202	0.231125663	0.048595234	4.756138503	1.97331e-6	1.55044e-5	up	no	FALSE	FALSE	FALSE
HUS1	400.5427892	-0.011026338	0.089812423	-0.122770742	0.902288643	0.945639339	no	no	FALSE	FALSE	TRUE
DBNL	2467.695792	-0.042916668	0.041880809	-1.024733501	0.305	0.472	no	no	FALSE	FALSE	FALSE
CCM2	860.9390856	-0.062430426	0.069794348	-0.894491141	0.371059168	0.543297426	no	no	FALSE	FALSE	FALSE
TTYH3	4695.608892	-0.235304813	0.036538746	-6.439871119	1.19575e-10	1.72656e-9	down	no	FALSE	FALSE	FALSE
CIDEB	1979.322209	0.09358202	0.044980553	2.080499553	0.037479737	0.095524348	no	no	FALSE	FALSE	FALSE
TTC5	767.8382789	0.171091676	0.07123948	2.401641293	0.0163	0.048	up	no	FALSE	FALSE	FALSE
NKX2-8	56.89813899	0.25882769	0.151809343	1.704952309	0.088203319	0.188636121	no	no	FALSE	FALSE	FALSE
ZFHX2	160.976617	0.017973012	0.124914943	0.143881999	0.885593651	0.935534377	no	no	FALSE	FALSE	FALSE
MTHFS	104.7841657	-0.114442275	0.137241452	-0.833875429	0.404351184	0.574353767	no	no	FALSE	FALSE	FALSE
ABHD17C	2210.567122	0.252800518	0.045887006	5.509196174	3.6e-8	3.77e-7	up	no	FALSE	FALSE	FALSE
IREB2	4347.56038	-0.060779892	0.036498955	-1.665250191	0.095862851	0.200853483	no	no	FALSE	FALSE	FALSE
ALPK3	33.37549336	-0.121768142	0.154104095	-0.790168112	0.429429596	0.597750211	no	no	FALSE	FALSE	FALSE
TM6SF1	322.543222	0.0169791	0.100897648	0.168280436	0.866362665	0.924202402	no	no	FALSE	FALSE	FALSE
CALCOCO2	1858.865763	-0.125372323	0.051624234	-2.428555605	0.0152	0.0451	no	no	FALSE	FALSE	FALSE
RSAD1	990.1629766	0.221331013	0.062604793	3.53536851	4.07207e-4	0.001951988	up	no	FALSE	FALSE	FALSE
NMT1	2683.93808	0.072455842	0.041117663	1.762158587	0.078042507	0.171200245	no	no	FALSE	FALSE	TRUE
SRSF1	15633.62695	0.196097551	0.0259323	7.561903513	3.97213e-14	8.07874e-13	up	no	FALSE	FALSE	FALSE
VEZF1	4398.989147	-0.081446215	0.034538986	-2.358095136	0.0184	0.053	no	no	FALSE	FALSE	TRUE
TACO1	1692.899287	0.078553264	0.054420813	1.443441587	0.148896116	0.281294322	no	no	FALSE	FALSE	FALSE
TEX2	4775.840638	0.090803271	0.0346154	2.623204436	0.00871	0.0282	no	no	FALSE	FALSE	FALSE
DCAF7	8779.508547	0.032751854	0.030100526	1.088082462	0.277	0.441	no	no	FALSE	FALSE	FALSE
LIMD2	281.0650942	-0.346872876	0.104496752	-3.319460857	9.02e-4	0.00399	down	no	FALSE	FALSE	FALSE
BRIP1	3603.248825	0.415763531	0.040131508	10.36002751	3.77e-25	1.62e-23	up	no	FALSE	FALSE	FALSE
KAT7	1927.083721	0.1063057	0.046935217	2.264945292	0.0235	0.065179575	no	no	FALSE	FALSE	FALSE
ACTL6A	3002.612188	0.103811154	0.044127387	2.352533477	0.0186	0.0537	no	no	FALSE	FALSE	FALSE
NDUFB5	1262.9731180000001	-0.018282048	0.058984378	-0.309947285	0.757	0.856	no	no	FALSE	FALSE	FALSE
MRPL47	872.9419417	0.031941035	0.077818485	0.410455627	0.681471748	0.804131723	no	no	FALSE	FALSE	FALSE
TRA2B	6890.135186	0.205566072	0.031708443	6.483007489	8.99e-11	1.33e-9	up	no	FALSE	FALSE	FALSE
MARCH7	2167.462083	-0.03690721	0.045987863	-0.802542387	0.42223928	0.591819427	no	no	FALSE	FALSE	FALSE
TANK	1126.236222	-0.204381714	0.060320186	-3.388280565	7.03e-4	0.00318	down	no	FALSE	FALSE	TRUE
SKIL	5327.270367	-0.138566354	0.031415737	-4.410730647	1.03e-5	7.07e-5	no	no	FALSE	FALSE	TRUE
EPRS	5556.647774	0.183324032	0.030435776	6.023307258	1.70889e-9	2.11929e-8	up	no	FALSE	FALSE	FALSE
VPS45	1499.472754	-0.06735966	0.050890806	-1.323611567	0.186	0.332	no	no	FALSE	FALSE	FALSE
KCTD3	3922.872247	0.169312056	0.035461434	4.774540536	1.8e-6	1.43e-5	up	no	FALSE	FALSE	FALSE
RPS6KC1	568.8483466	-0.052357476	0.079808525	-0.656038639	0.511799264	0.671441773	no	no	FALSE	FALSE	FALSE
RASSF5	46.71282706	0.001848042	0.154141953	0.011989219	0.990434216	0.994548606	no	no	FALSE	FALSE	FALSE
CBWD2	462.1567311	-0.005421151	0.094710465	-0.057239197	0.954354655	0.975021091	no	no	FALSE	FALSE	FALSE
SMPD4	6407.341995	0.08121953	0.035336469	2.298461973	0.0215	0.0605	no	no	FALSE	FALSE	FALSE
WDR33	3087.296976	0.094355973	0.037980901	2.484300568	0.012980619	0.039615236	no	no	FALSE	FALSE	FALSE
CCDC115	823.7324269	0.243895604	0.067690436	3.603102888	3.14e-4	0.00155	up	no	FALSE	FALSE	FALSE
SAP130	2039.692974	0.026351913	0.046880763	0.562105026	0.574	0.723	no	no	FALSE	FALSE	FALSE
BIN1	249.4686989	-0.325197787	0.107860892	-3.014974019	0.002570013	0.009870319	down	no	FALSE	FALSE	FALSE
IMP4	3963.240672	0.308691437	0.036582804	8.438156821	3.22381e-17	8.42154e-16	up	no	FALSE	FALSE	FALSE
HS6ST1	3575.775029	-0.040887014	0.038495499	-1.062124516	0.288179162	0.453499141	no	no	FALSE	FALSE	FALSE
UGGT1	4059.6024	0.089842069	0.039918503	2.250637245	0.024408522	0.067137584	no	no	FALSE	FALSE	FALSE
STAM	875.9216089	-0.071462063	0.070183628	-1.018215574	0.30857552	0.475710848	no	no	FALSE	FALSE	FALSE
ABI1	2614.866713	-0.290076344	0.041335113	-7.017673858	2.25592e-12	3.92156e-11	down	no	FALSE	FALSE	FALSE
YME1L1	10060.396	0.010132342	0.026951942	0.375941053	0.706960719	0.822572717	no	no	FALSE	FALSE	FALSE
DNAJC1	2085.576782	-0.142268465	0.046957658	-3.029718076	0.002447821	0.009477734	no	no	FALSE	TRUE	FALSE
NIPSNAP3A	783.4700452	-0.138850496	0.071534222	-1.941035938	0.052253918	0.124633781	no	no	FALSE	FALSE	FALSE
LRRC8A	2745.279245	-0.449040525	0.040312355	-11.13902972	8.1e-29	4.26e-27	down	no	FALSE	FALSE	FALSE
CDK9	1506.895937	-0.063212205	0.053344537	-1.184979913	0.236025389	0.393938272	no	no	FALSE	FALSE	FALSE
TXN	5274.647644	0.064830801	0.034009379	1.906262423	0.0566	0.133	no	no	FALSE	FALSE	FALSE
ODF2	2130.530878	-0.009818835	0.046369439	-0.211752285	0.832300295	0.905229894	no	no	FALSE	FALSE	FALSE
KIAA0368	5039.141955	0.03937681	0.034738635	1.133516341	0.256997483	0.418970934	no	no	FALSE	FALSE	FALSE
TOR1B	1615.067446	-0.086962221	0.049309255	-1.763608491	0.0778	0.171	no	no	FALSE	FALSE	FALSE
C9orf78	2815.011347	0.209076712	0.041040811	5.09436107	3.49919e-7	3.13124e-6	up	no	FALSE	FALSE	FALSE
SMC2	782.1900686	0.195416347	0.069501162	2.811698986	0.00493	0.0173	up	no	FALSE	FALSE	FALSE
KLF4	1932.959717	0.369462085	0.048897368	7.555868486	4.16e-14	8.45e-13	up	no	TRUE	TRUE	FALSE
TOR1A	2816.532329	-0.055993	0.041291881	-1.35602928	0.175089852	0.317184658	no	no	FALSE	FALSE	FALSE
RALGPS1	306.6502181	-0.058454141	0.102627964	-0.56957323	0.56896719	0.718692741	no	no	FALSE	FALSE	FALSE
FAM129B	11376.61538	-0.190487322	0.026707156	-7.132445121	9.86014e-13	1.7792e-11	down	no	FALSE	FALSE	FALSE
ST6GALNAC4	66.30940947	0.085861672	0.150598288	0.570137107	0.568584709	0.718484602	no	no	FALSE	FALSE	FALSE
TMOD1	617.0393419	0.025066884	0.075222883	0.33323482	0.738957036	0.843261568	no	no	FALSE	FALSE	FALSE
DAB2IP	3025.101461	-0.108947961	0.039629254	-2.74918022	0.00597	0.0203	no	no	FALSE	FALSE	TRUE
STXBP1	614.4105705	-0.069251454	0.074512357	-0.929395565	0.353	0.524	no	no	FALSE	FALSE	FALSE
SLC2A8	967.2674523	0.115513884	0.069198941	1.669301332	0.095057676	0.199665999	no	no	FALSE	TRUE	FALSE
CDK5RAP2	606.0691219	0.038183667	0.079578106	0.479826286	0.631	0.767	no	no	FALSE	FALSE	FALSE
SLC31A2	1004.715312	-0.471778931	0.067769418	-6.961531367	3.37e-12	5.67e-11	down	no	FALSE	FALSE	FALSE
SLC31A1	1796.641198	0.068111172	0.049800191	1.367688968	0.171	0.313	no	no	FALSE	FALSE	FALSE
ZNF189	238.0101606	-0.024406966	0.108890326	-0.22414265	0.822646307	0.899659538	no	no	FALSE	FALSE	FALSE
STX17	989.3596874	-0.038676981	0.061608312	-0.627788356	0.530142595	0.686034821	no	no	FALSE	FALSE	FALSE
PRPF4	1743.888665	0.303851841	0.047617964	6.381033855	1.75896e-10	2.49426e-9	up	no	FALSE	FALSE	FALSE
FPGS	1839.676509	0.134270096	0.053477135	2.51079451	0.012	0.0371	no	no	FALSE	FALSE	FALSE
USP20	1991.174087	0.058421896	0.047002263	1.242959203	0.213882867	0.367937456	no	no	FALSE	FALSE	FALSE
KIF12	212.6254008	0.170767033	0.119510135	1.428891646	0.153	0.287	no	no	FALSE	FALSE	FALSE
ATP6V1G1	6309.127776	-0.112304765	0.032389918	-3.467275334	5.26e-4	0.00246	no	no	FALSE	FALSE	FALSE
TEX10	1849.697713	0.167665133	0.050292369	3.333808643	8.56656e-4	0.00380181	up	no	FALSE	FALSE	FALSE
GARNL3	69.86377822	0.39669006	0.149261598	2.657683331	0.007867978	0.025804287	up	no	FALSE	FALSE	FALSE
MRPL50	921.5809746	0.278142439	0.063171972	4.4029406	1.06793e-5	7.30268e-5	up	no	FALSE	FALSE	FALSE
DPM2	985.4605663	0.251295995	0.064437404	3.899846672	9.63e-5	5.39e-4	up	no	FALSE	FALSE	FALSE
TSTD2	1213.777587	0.072160969	0.057650555	1.251695998	0.210680659	0.36395459	no	no	FALSE	FALSE	FALSE
GABBR2	3109.534812	-0.25130886	0.040538077	-6.199328614	5.67e-10	7.53e-9	down	no	FALSE	FALSE	FALSE
PSMB7	3893.321197	-6.11835e-4	0.034522123	-0.017722971	0.985859855	0.992112304	no	no	FALSE	FALSE	FALSE
C9orf156	399.2748182	-0.005844352	0.09374059	-0.062346011	0.950287288	0.973127771	no	no	FALSE	FALSE	FALSE
RABEPK	806.1359765	0.12245912	0.069496595	1.762088057	0.078054421	0.171200245	no	no	FALSE	FALSE	FALSE
GOLGA1	930.3610118	0.035141702	0.063205743	0.555989065	0.57821833	0.726126344	no	no	FALSE	FALSE	FALSE
XPA	280.240787	-0.2088562	0.10288827	-2.029932082	0.042363443	0.105184574	no	no	FALSE	FALSE	FALSE
NCBP1	3956.970593	0.191882571	0.037315755	5.142132937	2.71637e-7	2.47745e-6	up	no	FALSE	FALSE	FALSE
ANP32B	8565.520551	0.17177367	0.028165645	6.098694765	1.07e-9	1.37e-8	up	no	FALSE	FALSE	FALSE
PDCL	1163.77326	-0.242633527	0.058515744	-4.146465725	3.37647e-5	2.08822e-4	down	no	FALSE	FALSE	FALSE
RPL35	13429.73491	0.080174787	0.028630443	2.800333477	0.0051	0.0178	no	no	FALSE	FALSE	FALSE
CTSV	408.188963	-0.277462614	0.101231085	-2.740883541	0.00613	0.0208	down	no	FALSE	FALSE	FALSE
LMX1B	1693.398274	0.243627129	0.04816809	5.057853179	4.24e-7	3.74e-6	up	no	FALSE	FALSE	TRUE
ARPC5L	2509.258174	-0.042895017	0.041372603	-1.03679764	0.3	0.466	no	no	FALSE	FALSE	FALSE
DSCC1	280.5418701	0.497374996	0.101289153	4.910446802	9.09e-7	7.59e-6	up	no	FALSE	FALSE	FALSE
DERL1	5776.06613	-0.047213714	0.0344582	-1.370173545	0.171	0.312	no	no	FALSE	FALSE	TRUE
MYC	3810.562257	0.99267861	0.039106693	25.38385449	3.8e-142	2.71e-139	up	up	TRUE	FALSE	FALSE
NOV	54.49668061	-0.101891564	0.152941047	-0.666214632	0.505273921	0.66625774	no	no	FALSE	FALSE	FALSE
TMEM261	712.9424025	0.136924856	0.077996005	1.755536791	0.079167533	0.173108305	no	no	FALSE	FALSE	FALSE
RANBP6	1083.033465	-0.052877009	0.059979975	-0.881577707	0.378005215	0.549966673	no	no	FALSE	FALSE	FALSE
POLR1E	748.786323	0.316381352	0.071154891	4.446375317	8.73313e-6	6.09777e-5	up	no	FALSE	FALSE	FALSE
PLAA	1502.868242	0.070214041	0.057379389	1.223680517	0.221072772	0.376800318	no	no	FALSE	FALSE	FALSE
UBAP2	2416.929207	0.137387867	0.046887821	2.930139743	0.00339	0.0125	no	no	FALSE	FALSE	TRUE
APTX	822.5602798	0.272346342	0.073343933	3.713277047	2.04593e-4	0.001058041	up	no	FALSE	FALSE	FALSE
RNF38	931.5240566	-0.092481749	0.066726438	-1.385983604	0.16575191	0.304924402	no	no	FALSE	FALSE	FALSE
TLN1	9548.956532	-0.238333943	0.029902715	-7.97031109	1.58e-15	3.68e-14	down	no	FALSE	FALSE	FALSE
DNAJB5	332.30438	-0.201182039	0.096784188	-2.078666392	0.037648024	0.095867451	no	no	FALSE	FALSE	FALSE
DCTN3	1305.839713	-0.065656501	0.058694916	-1.118606273	0.263308146	0.426039104	no	no	FALSE	FALSE	FALSE
CD72	295.3289117	-0.038275305	0.108614927	-0.352394517	0.724542413	0.83511256	no	no	FALSE	FALSE	FALSE
TMEM8B	175.8163465	-0.060074397	0.124471779	-0.482634681	0.629	0.765	no	no	FALSE	FALSE	FALSE
GRHPR	2068.986125	0.017461967	0.046006424	0.379554964	0.704275797	0.820572746	no	no	FALSE	FALSE	FALSE
ALDH1B1	1542.231013	0.297810955	0.055514885	5.364524412	8.11628e-8	8.07487e-7	up	no	FALSE	FALSE	FALSE
HINT2	422.1754579	0.053391515	0.100424667	0.531657376	0.595	0.74	no	no	FALSE	FALSE	FALSE
ARHGEF39	574.4655202	-0.185803149	0.080938778	-2.295601106	0.021698699	0.060907805	no	no	FALSE	FALSE	TRUE
IGFBPL1	34.25608645	0.01120921	0.154197897	0.072693664	0.942049891	0.968681921	no	no	FALSE	FALSE	FALSE
DENND4C	1808.647745	-0.130442646	0.048109813	-2.711352143	0.0067	0.0224	no	no	FALSE	FALSE	FALSE
RPS6	33866.88529	0.069643467	0.023182826	3.004097394	0.00266	0.0102	no	no	FALSE	FALSE	FALSE
CNPY3	1390.033283	0.11347335	0.053794146	2.109399618	0.034910102	0.090142148	no	no	FALSE	FALSE	FALSE
FOXP4	4386.665301	-0.348470714	0.044387397	-7.850667966	4.14e-15	9.18e-14	down	no	FALSE	FALSE	FALSE
PPIL1	1248.319139	0.321427591	0.057390439	5.600716683	2.13e-8	2.29e-7	up	no	FALSE	FALSE	FALSE
KLC4	775.705875	-0.053725153	0.068406856	-0.785376725	0.432232723	0.600185046	no	no	FALSE	FALSE	FALSE
KIF13A	1857.268414	-0.030675244	0.052150257	-0.588208867	0.556392107	0.708465649	no	no	FALSE	FALSE	FALSE
ZSCAN9	317.2486461	-0.015859706	0.098858693	-0.16042804	0.872543903	0.92759913	no	no	FALSE	FALSE	FALSE
PIM1	377.6836453	0.077070473	0.092777617	0.830701155	0.406	0.576	no	no	FALSE	FALSE	TRUE
GMPR	53.48729197	0.036671815	0.154291708	0.237678455	0.812130496	0.893117709	no	no	FALSE	FALSE	FALSE
CMTR1	2053.14665	0.096275816	0.048384145	1.989821574	0.046610594	0.113668213	no	no	FALSE	FALSE	FALSE
TFAP2A	1239.106346	-0.167179535	0.059731501	-2.798850374	0.00513	0.0178	down	no	FALSE	FALSE	TRUE
YIPF3	3899.994275	-0.127786215	0.037385482	-3.418070571	6.30668e-4	0.002890796	no	no	FALSE	FALSE	FALSE
TMEM14B	1411.987823	-0.052084626	0.056162927	-0.92738447	0.353726951	0.525186214	no	no	FALSE	FALSE	FALSE
TMEM63B	1876.019435	-0.125004922	0.047827807	-2.613645283	0.008958199	0.028835152	no	no	FALSE	FALSE	FALSE
FRS3	52.43645425	0.223852264	0.15322115	1.46097496	0.144022313	0.274380527	no	no	FALSE	FALSE	FALSE
TJAP1	590.1973864	-0.077882628	0.082324279	-0.946046883	0.344124674	0.514524574	no	no	FALSE	FALSE	FALSE
KIAA0319	110.6819268	-0.100610048	0.136467117	-0.737247547	0.460971824	0.625632481	no	no	FALSE	FALSE	FALSE
SLC22A23	1280.226892	-0.337314053	0.054632502	-6.174237725	6.65e-10	8.7e-9	down	no	FALSE	FALSE	FALSE
TUBB2A	2583.584313	-0.227443798	0.041569681	-5.471386671	4.47e-8	4.63e-7	down	no	FALSE	FALSE	FALSE
LRRC1	1493.569562	-0.248050171	0.05748128	-4.315320895	1.59e-5	1.05e-4	down	no	FALSE	FALSE	FALSE
BPHL	431.652495	0.044997966	0.086723705	0.518865822	0.603854313	0.746410903	no	no	FALSE	FALSE	FALSE
RIPK1	1411.689673	-0.132655418	0.052475516	-2.527948815	0.011473108	0.035650773	no	no	FALSE	FALSE	TRUE
TUBB2B	144.7379969	-0.063500533	0.131514172	-0.482841747	0.629208106	0.765120927	no	no	TRUE	FALSE	TRUE
UQCC2	1501.913683	0.053632694	0.053571291	1.001146186	0.316756139	0.485065844	no	no	FALSE	FALSE	FALSE
HMGA1	7534.184917	0.013335867	0.030183311	0.441829162	0.659	0.788	no	no	FALSE	FALSE	FALSE
TCF19	63.02603035	0.059221794	0.150181508	0.394334794	0.693	0.812	no	no	FALSE	FALSE	FALSE
FLOT1	1034.261027	-0.262704873	0.061968441	-4.239333261	2.24e-5	1.44e-4	down	no	FALSE	FALSE	TRUE
IER3	152.2998971	-0.154831558	0.126303379	-1.225870273	0.220247497	0.376069035	no	no	FALSE	FALSE	TRUE
MDC1	253.1178913	0.133353201	0.108883439	1.22473355	0.220675629	0.376438884	no	no	FALSE	FALSE	FALSE
PGBD1	117.6923374	0.162907727	0.135588464	1.201486639	0.229562486	0.386321645	no	no	FALSE	FALSE	FALSE
ATAT1	279.9011795	-0.02597378	0.105209005	-0.246877914	0.805002709	0.888173928	no	no	FALSE	FALSE	FALSE
TPMT	558.6109995	-0.059739652	0.07995956	-0.747123316	0.454989127	0.620585764	no	no	FALSE	FALSE	FALSE
RNF144B	491.9116709	-0.098263962	0.081894901	-1.199878883	0.23	0.387	no	no	FALSE	FALSE	TRUE
MTCH1	8375.701589	-0.199005885	0.027599998	-7.210358535	5.58e-13	1.03e-11	down	no	FALSE	FALSE	FALSE
VARS2	560.031174	0.138246453	0.078539377	1.760218357	0.0784	0.171761845	no	no	FALSE	FALSE	FALSE
TAF8	520.1555167	-0.115290212	0.084520039	-1.364057728	0.172549398	0.313912298	no	no	FALSE	FALSE	FALSE
FAM8A1	1342.430086	-0.054273894	0.056005113	-0.9690882	0.332501185	0.502357809	no	no	FALSE	FALSE	FALSE
C6orf52	53.54304997	0.091487836	0.153594449	0.595645459	0.551412101	0.703697928	no	no	FALSE	FALSE	FALSE
CPEB2	2105.855753	-0.593527235	0.054242394	-10.94212823	7.25e-28	3.65e-26	down	down	FALSE	FALSE	FALSE
FHDC1	1344.73092	-0.231458261	0.055841635	-4.144904776	3.4e-5	2.1e-4	down	no	FALSE	FALSE	TRUE
TLR2	523.1571671	0.086491859	0.087747379	0.985691655	0.324	0.493	no	no	FALSE	FALSE	FALSE
FCHSD2	1163.923828	-0.043147024	0.060014117	-0.7189479	0.472173022	0.635801315	no	no	FALSE	FALSE	FALSE
ARRB1	443.8821734	-0.10640614	0.090680161	-1.173422487	0.241	0.399	no	no	FALSE	FALSE	TRUE
PRKRIR	2708.690434	0.110659064	0.042712115	2.590812072	0.009574976	0.030530557	no	no	FALSE	FALSE	FALSE
ANKRD42	595.4286311	-0.014343208	0.079687427	-0.179993366	0.857157776	0.919204223	no	no	FALSE	FALSE	FALSE
IL18BP	974.8514042	0.017651087	0.063617336	0.277457189	0.781	0.874	no	no	FALSE	FALSE	FALSE
NUMA1	7010.38056	0.092965541	0.035229687	2.638840926	0.00832	0.027	no	no	FALSE	FALSE	TRUE
CCDC90B	984.728882	-0.015669209	0.060835219	-0.257568051	0.797	0.883	no	no	FALSE	FALSE	TRUE
SYTL2	17430.39	-0.159473101	0.027204467	-5.862019027	4.57e-9	5.3e-8	down	no	FALSE	FALSE	FALSE
RAB30	1010.778746	-0.121388285	0.066945053	-1.813252491	0.069792887	0.156676338	no	no	FALSE	FALSE	TRUE
CREBZF	3903.061701	0.012516857	0.035954409	0.348131358	0.727741535	0.83712533200000006	no	no	FALSE	FALSE	FALSE
PRCP	815.5774735	-0.004872786	0.067675484	-0.072002233	0.943	0.969	no	no	FALSE	FALSE	FALSE
NARS2	622.5109075	0.410215011	0.075744355	5.415783247	6.1e-8	6.19e-7	up	no	FALSE	FALSE	FALSE
RNF121	2767.985694	-0.311424745	0.044420798	-7.010786737	2.37e-12	4.09e-11	down	no	FALSE	FALSE	TRUE
MRPL15	1891.612872	0.292065488	0.056613401	5.158946205	2.48344e-7	2.28255e-6	up	no	FALSE	FALSE	FALSE
GGH	510.4592114	0.203832763	0.084072637	2.424483993	0.0153	0.0455	up	no	FALSE	FALSE	FALSE
SULF1	516.62584	1.236199905	0.087502137	14.12765386	2.5655e-45	2.48469e-43	up	up	FALSE	FALSE	FALSE
TGS1	812.477318	0.32317346	0.067814876	4.765524631	1.88e-6	1.49e-5	up	no	FALSE	FALSE	FALSE
SDCBP	2902.078426	-0.180305537	0.040936704	-4.404495728	1.06e-5	7.26e-5	down	no	FALSE	FALSE	FALSE
NEK1	202.8185314	0.059123974	0.122102147	0.484217321	0.628231645	0.764455892	no	no	FALSE	FALSE	FALSE
